Country,City,AvgTemp
Albania,tirana,61.135237970711394
Algeria,algiers,64.37253818654507
Argentina,buenos aires,62.91649875419788
Australia,canberra,56.4014755343388
Austria,vienna,51.46943722943731
Bahamas,nassau,78.56622639449847
Bahrain,manama,81.21907752273744
Bangladesh,dhaka,78.72032520325234
Barbados,bridgetown,81.07108635764779
Belarus,minsk,45.39047039291643
Belgium,brussels,51.5118640398354
Bermuda,hamilton,71.59983807124873
Bolivia,la paz,45.50655826558265
Bulgaria,sofia,51.6243039116221
Burundi,bujumbura,73.68981900452471
Canada,ottawa,44.22525751375754
Central African Republic,bangui,78.82184718529616
China,beijing,55.202587420158
Congo,brazzaville,78.17122244944332
Croatia,zagreb,54.41298082378286
Cuba,havana,75.84939520562996
Cyprus,nicosia,67.97264196342637
Czech Republic,prague,48.079449978345544
Denmark,copenhagen,47.40284693656621
Dominican Republic,santo domingo,79.72183719017981
Egypt,cairo,72.67604855315933
Equador,quito,57.363936912344414
Ethiopia,addis ababa,62.95038499230032
Finland,helsinki,42.672104351591095
France,paris,53.93095807082339
Gabon,libreville,79.87851362133846
Gambia,banjul,79.01938748685622
Georgia,tbilisi,56.34484272128731
Greece,athens,65.2547559055116
Guatemala,guatemala city,66.8639035591273
Guinea,conakry,81.58525085369075
Guinea-Bissau,bissau,82.33553368075677
Guyana,georgetown,83.34588014981283
Honduras,tegucigalpa,71.66292468389156
Hungary,budapest,51.57030421132389
Indonesia,jakarta,83.36622922134751
Ireland,dublin,49.531644473313804
Italy,rome,60.72471581682377
Japan,tokyo,61.566027931146316
Jordan,amman,64.72552523283531
Kenya,nairobi,67.490946774996
Kyrgyzstan,bishkek,53.47416841844964
Laos,vientiane,81.05564603691633
Latvia,riga,45.36726896701871
Lebanon,beirut,70.31200086805568
Macedonia,skopje,54.73791345841007
Madagascar,antananarivo,65.45140391128601
Malawi,lilongwe,70.03199545626656
Malaysia,kuala lumpur,82.2989224848813
Mauritania,nouakchott,78.11336918000707
Mexico,mexico city,62.661180931744305
Morocco,rabat,63.38186152345862
Mozambique,maputo,74.74497458410396
Namibia,windhoek,69.32590835454769
Nicaragua,managua,81.78517797871159
Nigeria,niamey,85.96389409817961
North Korea,pyongyang,51.873763964163494
Norway,oslo,41.7993530884807
Oman,muscat,82.96607022282267
Pakistan,islamabad,71.49295790416474
Panama,panama city,81.0164382071365
Peru,lima,67.09075729687069
Philippines,manila,82.36449479618376
Poland,warsaw,48.25283672585513
Portugal,lisbon,62.625254825417265
Qatar,doha,82.96221692491069
Romania,bucharest,52.83972068853537
Russia,yerevan,55.51709535759093
Russia,moscow,42.39905793178134
Saudi Arabia,riyadh,79.34457805221518
Senegal,dakar,76.33087262872628
Serbia-Montenegro,pristina,50.235201724668975
Sierra Leone,freetown,81.71703655352484
Singapore,singapore,82.24119748809011
Slovakia,bratislava,51.9678254277669
South Korea,seoul,53.40429932856834
Spain,madrid,58.91773111062988
Suriname,paramaribo,79.6945913936042
Sweden,stockholm,45.60851294270562
Switzerland,bern,49.835405815972415
Syria,damascus,63.77238870792596
Taiwan,taipei,73.88646641542871
Thailand,bangkok,83.91882699982649
The Netherlands,amsterdam,51.30470983109561
Tunisia,tunis,67.08807409012111
Turkey,ankara,51.39081853616294
Uganda,kampala,72.58953292793392
United Arab Emirates,abu dhabi,82.85980285961872
United Kingdom,belfast,50.6333731667571
United Kingdom,london,52.8404460322614
Uzbekistan,tashkent,60.52799476325585
Venezuela,caracas,81.12558929941896
Vietnam,hanoi,75.41495124593709
Yugoslavia,belgrade,54.52991554785632
Zambia,lusaka,70.08715898400767
