Year,AvgTemp
1995,67.2629851012579
1996,67.86967758228818
1997,68.34836746936332
1998,69.06291989664082
1999,68.02917794316642
2000,67.71886102847435
2001,67.73726484541146
2002,68.05932217366207
2003,67.9122232063773
2004,68.31447879572664
2005,67.78168187744457
2006,68.70920807327536
2007,68.87105562784646
2008,68.0895085896924
2009,68.72838223632029
2010,68.82422924901184
2011,67.65085130533478
2012,67.23867893253757
2013,67.83878858474075
2014,67.8062718640678
2015,68.66707195203205
2016,68.85475313807528
2017,68.4576696287685
2018,68.45521095982518
2019,68.66720946177593
2020,61.86792923565428
